State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
MP,Bhind,1703562,2995,32,2960,44395,1034374,351065
MP,Bhopal,2368145,123552,972,122121,245166,2012966,1168682
MP,Burhanpur,756993,2568,39,2529,13040,493618,220909
MP,Chhatarpur,1762857,7609,91,7506,50518,1093616,336309
MP,Chhindwara,2090306,6734,120,6612,79090,1624355,591843
MP,Damoh,1263703,8120,186,7841,16564,844557,326505
MP,Datia,786375,6959,78,6874,40322,560238,296233
MP,Dewas,1563107,7723,51,7672,96155,1005266,477219
MP,Dhar,2184672,12572,130,12388,62597,1371226,536214
MP,Dindori,704218,4623,29,4588,3557,481366,186341
MP,Guna,1240938,5132,44,5085,40229,821399,284155
MP,Gwalior,2030543,53106,633,52427,206696,1452149,730150
MP,Harda,570302,5055,96,4954,36708,394641,159293
MP,Hoshangabad,1240975,10688,99,10570,46294,865566,369945
MP,Indore,3272335,153230,1391,151410,780266,2951024,1728945
MP,Jabalpur,2460714,50779,670,49896,293923,1957070,1099359
MP,Jhabua,1024091,7691,64,7619,52146,607542,185320
MP,Katni,1291684,9366,120,9242,56828,865274,306259
MP,Khandwa,1309443,4044,94,3946,17090,862885,310248
MP,Khargone,1872413,13970,239,13716,38413,1147444,411114
MP,Mandla,1053522,5188,25,5159,0,684882,246724
MP,Mandsaur,1339832,8637,84,8552,52733,948065,330902
MP,Morena,1965137,8236,95,8135,90967,1295658,582833
MP,Narsinghpur,1092141,11209,81,11115,90600,803225,318284
MP,Neemuch,825958,7926,84,7828,57292,579489,229183
MP,Niwari,825958,3715,48,3654,22574,0,0
MP,Panna,1016028,7331,63,7250,0,600823,168120
MP,Raigarh,1016028,1,0,0,0,0,0
MP,Raisen,1331699,9238,194,9030,44343,885585,333022
MP,Rajgarh,1546541,8729,172,8490,46604,1025584,450099
MP,Ratlam,1454483,17860,385,17438,51736,1026416,457972
MP,Rewa,2363744,16433,155,16270,22690,1639826,674779
MP,Sagar,2378295,16622,390,16154,64801,1563245,760746
MP,Satna,2228619,11965,133,11829,28159,1532585,481540
MP,Sehore,1311008,10136,73,10057,45061,909045,396375
MP,Seoni,1378876,6775,28,6739,15024,945564,341871
MP,Shahdol,1064989,10085,118,9958,18177,723227,337272
MP,Shajapur,1512353,6349,74,6273,56805,620316,278912
MP,Sheopur,687952,4000,78,3919,31449,413195,140296
MP,Shivpuri,1725818,12398,125,12261,47270,1109976,391707
MP,Sidhi,1126515,9219,87,9132,4660,679862,226632
MP,Singrauli,1178132,8801,82,8706,0,740335,224966
MP,Tikamgarh,1444920,6863,114,6742,43011,919592,293885
MP,Ujjain,1986864,18903,172,18720,31631,1452247,836514
MP,Umaria,643579,6294,63,6224,54811,455492,196492
MP,Vidisha,1458212,11922,237,11677,65935,975291,349024
MZ,Aizawl,404054,75111,300,71337,0,315706,239593
MZ,Champhai,125370,5188,11,4745,0,74122,55251
MZ,Hnahthial,125370,1020,3,857,0,0,0
MZ,Khawzawl,125370,733,0,688,0,0,0
MZ,Kolasib,83054,7721,30,7561,0,50525,33101
MZ,Lawngtlai,117444,6740,23,6553,0,55877,25870
MZ,Lunglei,154094,9842,27,9053,0,95129,73298
MZ,Mamit,85757,4854,12,4448,0,43678,28873
MZ,Saiha,56366,5469,14,5304,0,34626,19984
MZ,Saitual,56366,471,2,420,0,0,0
MZ,Serchhip,64875,4210,10,3646,0,41932,36047
NL,Dimapur,379769,14684,421,13471,47020,268405,175502
NL,Kiphire,74033,258,9,246,1002,13017,8141
NL,Kohima,270063,9461,123,9095,33986,105758,82602
NL,Longleng,50593,307,2,286,1193,20577,15446
NL,Mokokchung,193171,2333,54,2186,3976,69198,54730
NL,Mon,259604,1159,14,1124,12278,70054,48331
NL,Peren,163294,920,6,897,5717,19956,12514
NL,Phek,163294,601,18,568,2779,31241,20746
NL,Tuensang,414801,1094,12,1077,4887,38130,26725
NL,Wokha,166239,402,11,361,1390,35138,23577
NL,Zunheboto,141014,623,15,593,2131,38077,22337
OR,Angul,1271703,43920,393,43506,172873,786278,291800
OR,Balangir,1648574,23397,126,23257,87867,960786,299153
OR,Balasore,2317419,40787,299,40389,9843,1351099,534318
OR,Bargarh,1478833,31126,335,30762,0,829092,283966
OR,Bhadrak,1506522,26480,150,26260,258173,1026493,367945
OR,Boudh,439917,12634,112,12488,496,259325,92297
