State,Date,delta7_Confirmed,delta7_Deceased,delta7_Recovered,delta7_Vaccinated1,delta7_Vaccinated2
AP,2021-03-20,1803,7,981,467993,65278
AP,2021-03-21,1873,5,1080,467993,65278
AP,2021-03-22,2036,6,1091,516594,65468
AP,2021-03-23,2267,8,1222,552812,62256
AP,2021-03-24,2599,11,1336,594473,61369
AP,2021-03-25,3139,15,1450,643115,64811
AP,2021-03-26,3877,16,1625,648939,66327
AP,2021-03-27,4444,14,1798,661838,69033
AP,2021-03-28,5081,16,1859,668590,70605
AP,2021-03-29,5768,19,2027,601265,65180
AP,2021-03-30,6269,20,2251,587881,66248
AP,2021-03-31,6868,20,2456,567928,65207
AP,2021-04-01,7381,19,2689,556121,65400
AP,2021-04-02,7685,22,2993,630672,57877
AP,2021-04-03,8136,31,3403,610987,54526
AP,2021-04-04,8861,34,3921,645870,57393
AP,2021-04-05,9190,34,4550,704315,66449
AP,2021-04-06,10138,38,4905,692138,69994
AP,2021-04-07,11285,45,5302,713085,71736
AP,2021-04-08,12572,48,5753,691686,69827
AP,2021-04-09,14049,54,6388,585212,78419
AP,2021-04-10,15960,57,6654,698783,100457
AP,2021-04-11,17725,61,7010,736113,103348
AP,2021-04-12,19662,67,7190,640742,93890
AP,2021-04-13,21949,70,7838,570113,81805
AP,2021-04-14,23775,77,8591,1052824,120259
AP,2021-04-15,26303,85,9421,983367,117195
AP,2021-04-16,29634,94,10370,926362,106209
AP,2021-04-17,33549,97,11649,725524,75743
AP,2021-04-18,36636,110,12794,649679,70342
AP,2021-04-19,39336,126,14272,760390,82875
AP,2021-04-20,44095,151,15905,851050,158157
AP,2021-04-21,49654,171,17658,279499,125932
AP,2021-04-22,55327,188,19905,333748,398755
AP,2021-04-23,60997,206,22152,457264,493946
AP,2021-04-24,65471,228,24241,533645,528748
AP,2021-04-25,71523,275,26202,534810,530794
AP,2021-04-26,75441,299,28064,621244,608594
AP,2021-04-27,77888,328,32003,669383,580855
AP,2021-04-28,82841,361,35077,698193,615790
AP,2021-04-29,86874,387,39273,650769,373204
AP,2021-04-30,92462,413,43300,647738,377065
AP,2021-05-01,100176,437,50458,634841,395039
AP,2021-05-02,111462,451,57565,628416,389262
AP,2021-05-03,120553,471,63361,430144,312072
AP,2021-05-04,129153,489,68513,294759,269967
AP,2021-05-05,136688,503,73208,287067,346903
AP,2021-05-06,143850,518,75161,287407,428782
AP,2021-05-07,143684,527,79442,193327,394455
AP,2021-05-08,144337,562,87135,142509,451714
AP,2021-05-09,142581,571,94556,150347,461564
AP,2021-05-10,138595,584,100496,135249,445933
AP,2021-05-11,138906,610,102791,129597,468184
AP,2021-05-12,138154,614,110758,87792,369272
AP,2021-05-13,138599,631,119255,56918,286286
AP,2021-05-14,143429,654,125683,28103,233274
AP,2021-05-15,145881,656,125150,15811,192243
AP,2021-05-16,147888,665,127419,11054,193760
AP,2021-05-17,151463,690,128586,17047,242179
AP,2021-05-18,152438,681,135358,21314,267785
AP,2021-05-19,154146,698,141082,26333,260741
AP,2021-05-20,154357,723,145542,206777,236797
AP,2021-05-21,153276,731,147176,214628,244652
AP,2021-05-22,150740,751,146773,221666,181549
AP,2021-05-23,145336,754,145781,227519,174628
AP,2021-05-24,139769,741,146820,313047,141048
AP,2021-05-25,133733,748,146463,431888,94617
AP,2021-05-26,128858,741,145749,720038,79130
AP,2021-05-27,122415,731,144036,1106429,77191
AP,2021-05-28,115907,730,143971,1527197,73140
AP,2021-05-29,109682,716,146027,1711666,134442
AP,2021-05-30,104315,706,147051,1717020,134580
AP,2021-05-31,99264,708,148523,1693380,146426
AP,2021-06-01,95283,706,145863,1761700,155598
AP,2021-06-02,89766,705,137370,1601463,164678
AP,2021-06-03,85020,682,132208,1137478,159728
AP,2021-06-04,81004,662,126931,1052988,154468
AP,2021-06-05,77621,638,122497,945407,90750
AP,2021-06-06,73197,634,114932,993470,91809
AP,2021-06-07,70126,622,108789,1057665,71305
AP,2021-06-08,66619,595,105173,906455,57573
AP,2021-06-09,62617,564,101853,949701,48975
AP,2021-06-10,59306,550,98611,1092059,50633
AP,2021-06-11,57132,528,94277,937565,42980
AP,2021-06-12,53711,506,89896,1015520,47301
AP,2021-06-13,51505,474,88820,1031132,46417
AP,2021-06-14,51182,447,85232,1260224,51875
AP,2021-06-15,49127,423,81158,1298265,52716
AP,2021-06-16,46978,413,79094,1148720,46770
AP,2021-06-17,45019,404,73841,921742,40094
AP,2021-06-18,43121,400,71192,750418,38102
AP,2021-06-19,41843,387,67629,610616,31886
AP,2021-06-20,40719,379,62909,1887344,115918
AP,2021-06-21,38790,364,60299,1581774,109300
AP,2021-06-22,37218,364,58108,1539912,110778
AP,2021-06-23,35285,343,55204,1539078,115385
AP,2021-06-24,34115,323,53940,1737293,171653
AP,2021-06-25,32232,304,51767,1864926,195877
AP,2021-06-26,30705,297,49526,2079447,255020
AP,2021-06-27,29309,280,47324,764376,171563
AP,2021-06-28,28913,267,44534,869497,229836
AP,2021-06-29,28364,255,41915,1059159,291322
AP,2021-06-30,27477,254,40089,1272760,357277
AP,2021-07-01,26337,254,37588,1270925,363683
AP,2021-07-02,25343,251,35559,1417716,389000
AP,2021-07-03,24126,249,34132,1251811,361845
AP,2021-07-04,23051,245,32254,1229760,361301
AP,2021-07-05,22927,240,30975,1144552,342889
AP,2021-07-06,22349,227,28966,951374,293010
AP,2021-07-07,21718,213,27487,733992,238309
AP,2021-07-08,20859,202,26985,541876,188112
AP,2021-07-09,20435,181,27277,273570,146450
AP,2021-07-10,20430,171,26868,299809,204731
AP,2021-07-11,19920,158,26407,341908,252998
AP,2021-07-12,19398,154,26013,415904,359827
AP,2021-07-13,18923,144,25299,765124,437201
AP,2021-07-14,18348,138,24609,868865,494548
AP,2021-07-15,17892,135,24081,895044,519275
AP,2021-07-16,17197,137,22506,1022909,616934
AP,2021-07-17,16944,129,21036,1035051,644862
AP,2021-07-18,17253,130,21095,983403,610875
AP,2021-07-19,17303,130,20798,878669,561497
AP,2021-07-20,17234,136,19965,604795,595519
AP,2021-07-21,17170,140,19048,548216,566388
AP,2021-07-22,16487,128,18314,576397,618447
AP,2021-07-23,15889,126,17678,476013,605213
AP,2021-07-24,15391,126,17948,402556,537196
AP,2021-07-25,14669,124,17098,399715,522120
AP,2021-07-26,14668,119,16371,1176620,782338
AP,2021-07-27,13710,114,16474,1160954,731005
AP,2021-07-28,13193,115,16018,1121528,749206
AP,2021-07-29,13457,123,15626,1087488,761580
AP,2021-07-30,13778,131,15388,1078982,862133
AP,2021-07-31,13662,136,14704,1375960,919083
AP,2021-08-01,13697,139,14694,1387986,929052
AP,2021-08-02,13616,137,14645,835257,712378
AP,2021-08-03,13622,136,14281,847447,701434
AP,2021-08-04,14054,132,14737,925443,699494
AP,2021-08-05,14092,136,14933,983720,666180
AP,2021-08-06,14233,136,14702,1369068,606864
AP,2021-08-07,14083,136,14752,1193420,567387
AP,2021-08-08,13846,136,14780,1231868,581344
AP,2021-08-09,13713,139,14607,1062159,482976
AP,2021-08-10,13628,136,14780,1149239,497536
AP,2021-08-11,13055,138,14684,1108924,474670
AP,2021-08-12,12769,127,14256,1084510,429515
AP,2021-08-13,12306,125,14008,1034372,373924
AP,2021-08-14,11933,118,13980,1036667,343612
AP,2021-08-15,11389,116,13357,1023333,334540
AP,2021-08-16,10885,111,13105,1135925,365554
AP,2021-08-17,10487,107,12921,1141662,355953
AP,2021-08-18,10051,104,12420,1217106,379095
AP,2021-08-19,9693,101,12542,1260861,447347
AP,2021-08-20,9382,87,12589,910832,388951
AP,2021-08-21,9064,84,12049,881642,493794
AP,2021-08-22,8643,76,11755,850549,482873
AP,2021-08-23,8736,75,11720,768080,498524
AP,2021-08-24,8921,79,11506,715590,542981
AP,2021-08-25,9089,80,10892,684885,582752
AP,2021-08-26,9127,82,10335,765281,651402
AP,2021-08-27,9207,86,9543,901796,797305
AP,2021-08-28,9311,92,9507,768891,651837
AP,2021-08-29,9783,102,9179,1477618,1069239
AP,2021-08-30,9659,103,8853,1605774,1106390
AP,2021-08-31,9526,107,8403,2301675,1397378
AP,2021-09-01,9111,101,8598,2408289,1395853
AP,2021-09-02,8950,99,8597,2279562,1294981
AP,2021-09-03,8955,99,8984,2144221,1194487
AP,2021-09-04,9136,96,9010,2186751,1278211
AP,2021-09-05,9202,86,9137,1485313,875244
AP,2021-09-06,9063,87,9288,1530190,1162636
AP,2021-09-07,9126,78,9289,770961,854547
AP,2021-09-08,9301,83,9181,575221,781631
AP,2021-09-09,9362,87,9353,515354,741373
AP,2021-09-10,9450,83,9170,489635,680515
AP,2021-09-11,9093,84,8735,911573,1008081
AP,2021-09-12,8660,87,8621,1705218,1733547
AP,2021-09-13,8785,85,8598,1656843,1504852
AP,2021-09-14,8732,84,8688,1684391,1483857
AP,2021-09-15,8816,80,8643,1723209,1512244
AP,2021-09-16,8744,80,8580,1824345,1593025
AP,2021-09-17,8529,82,8769,2412224,2108825
AP,2021-09-18,8558,74,8988,2114781,1851627
AP,2021-09-19,8705,72,9044,1315119,1115516
AP,2021-09-20,8680,68,8876,1427801,1374343
AP,2021-09-21,8734,70,9171,1514888,1492514
AP,2021-09-22,8654,67,9394,1520813,1519388
AP,2021-09-23,8458,64,9353,1537285,1568912
AP,2021-09-24,8311,66,9507,998324,1104573
AP,2021-09-25,8304,64,9685,860195,986905
AP,2021-09-26,8151,66,9736,940855,1046374
AP,2021-09-27,7930,64,9772,878446,871242
AP,2021-09-28,7522,61,9454,867759,813872
AP,2021-09-29,7241,66,9316,1199674,1089316
AP,2021-09-30,7080,68,9258,1233254,1045804
AP,2021-10-01,6643,68,8968,1543053,1245193
AP,2021-10-02,6341,70,8905,1758993,1448058
AP,2021-10-03,5922,68,8545,1717958,1406310
AP,2021-10-04,5733,66,8396,1621277,1296258
AP,2021-10-05,5633,69,8335,1504546,1255813
AP,2021-10-06,5349,65,8185,1152053,968928
AP,2021-10-07,4982,60,7875,1072034,964964
AP,2021-10-08,4866,56,7642,1034769,1077714
AP,2021-10-09,4630,55,7015,1039272,1191505
AP,2021-10-10,4489,50,6852,1050827,1235598
AP,2021-10-11,4370,48,6817,1014058,1305286
AP,2021-10-12,4202,49,6362,1182587,1465463
AP,2021-10-13,3919,48,6010,1314792,1617679
AP,2021-10-14,3816,50,5728,1425854,1774233
AP,2021-10-15,3709,53,5513,1116859,1424029
AP,2021-10-16,3412,52,5301,984392,1240312
AP,2021-10-17,3220,53,5077,938627,1191360
AP,2021-10-18,3242,57,4734,1036935,1439333
AP,2021-10-19,3222,49,4451,915375,1342680
AP,2021-10-20,3228,44,4233,1375446,1351274
AP,2021-10-21,3181,41,4228,1366983,1322724
AP,2021-10-22,3073,38,4090,1538941,1565944
AP,2021-10-23,3137,37,4071,1602055,1649781
AP,2021-10-24,3105,36,4001,1715266,1829714
AP,2021-10-25,3068,37,3910,1654690,1683825
AP,2021-10-26,3000,39,3960,1773025,1839816
AP,2021-10-27,3044,44,3789,1346056,1910761
AP,2021-10-28,2932,38,3651,1386122,2002861
AP,2021-10-29,2935,34,3462,1369049,2040615
AP,2021-10-30,2888,30,3431,1331497,2065578
AP,2021-10-31,2873,30,3590,1223010,1887005
AR,2020-04-02,1,0,0,0,0
AR,2020-04-03,1,0,0,0,0
AR,2020-04-04,1,0,0,0,0
AR,2020-04-05,1,0,0,0,0
AR,2020-04-06,1,0,0,0,0
AR,2020-04-07,1,0,0,0,0
AR,2020-04-08,1,0,0,0,0
AR,2020-04-13,0,0,0,0,0
AR,2020-04-14,0,0,0,0,0
AR,2020-04-15,0,0,1,0,0
AR,2020-04-16,0,0,1,0,0
AR,2020-04-17,0,0,1,0,0
AR,2020-04-18,0,0,1,0,0
AR,2020-04-19,0,0,1,0,0
AR,2020-04-20,0,0,1,0,0
AR,2020-04-21,0,0,1,0,0
AR,2020-04-22,0,0,0,0,0
AR,2020-04-23,0,0,0,0,0
AR,2020-04-24,0,0,0,0,0
AR,2020-04-25,0,0,0,0,0
AR,2020-04-26,0,0,0,0,0
AR,2020-04-27,0,0,0,0,0
AR,2020-04-28,0,0,0,0,0
AR,2020-04-29,0,0,0,0,0
AR,2020-04-30,0,0,0,0,0
AR,2020-05-01,0,0,0,0,0
AR,2020-05-02,0,0,0,0,0
AR,2020-05-03,0,0,0,0,0
AR,2020-05-04,0,0,0,0,0
AR,2020-05-05,0,0,0,0,0
AR,2020-05-06,0,0,0,0,0
AR,2020-05-07,0,0,0,0,0
AR,2020-05-08,0,0,0,0,0
AR,2020-05-09,0,0,0,0,0
AR,2020-05-10,0,0,0,0,0
AR,2020-05-11,0,0,0,0,0
AR,2020-05-12,0,0,0,0,0
AR,2020-05-13,0,0,0,0,0
AR,2020-05-14,0,0,0,0,0
AR,2020-05-15,0,0,0,0,0
AR,2020-05-16,0,0,0,0,0
AR,2020-05-17,0,0,0,0,0
AR,2020-05-18,0,0,0,0,0
AR,2020-05-19,0,0,0,0,0
AR,2020-05-20,0,0,0,0,0
AR,2020-05-21,0,0,0,0,0
AR,2020-05-22,0,0,0,0,0
AR,2020-05-23,0,0,0,0,0
AR,2020-05-24,1,0,0,0,0
AR,2020-05-25,1,0,0,0,0
AR,2020-05-26,1,0,0,0,0
AR,2020-05-27,1,0,0,0,0
AR,2020-05-28,2,0,0,0,0
AR,2020-05-29,2,0,0,0,0
AR,2020-05-30,3,0,0,0,0
AR,2020-05-31,2,0,0,0,0
AR,2020-06-01,21,0,0,0,0
AR,2020-06-02,23,0,0,0,0
AR,2020-06-03,32,0,0,0,0
AR,2020-06-04,36,0,0,0,0
AR,2020-06-05,40,0,0,0,0
AR,2020-06-06,41,0,0,0,0
AR,2020-06-07,44,0,0,0,0
AR,2020-06-08,31,0,0,0,0
AR,2020-06-09,29,0,1,0,0
AR,2020-06-10,24,0,3,0,0
AR,2020-06-11,25,0,3,0,0
AR,2020-06-12,40,0,3,0,0
AR,2020-06-13,43,0,5,0,0
AR,2020-06-14,43,0,6,0,0
AR,2020-06-15,41,0,6,0,0
AR,2020-06-16,45,0,5,0,0
AR,2020-06-17,45,0,6,0,0
AR,2020-06-18,39,0,7,0,0
AR,2020-06-19,52,0,10,0,0
AR,2020-06-20,47,0,9,0,0
AR,2020-06-21,48,0,14,0,0
AR,2020-06-22,53,0,15,0,0
AR,2020-06-23,59,0,31,0,0
AR,2020-06-24,57,1,28,0,0
AR,2020-06-25,69,1,31,0,0
AR,2020-06-26,39,1,35,0,0
AR,2020-06-27,42,1,39,0,0
AR,2020-06-28,43,1,39,0,0
AR,2020-06-29,39,1,39,0,0
AR,2020-06-30,33,1,24,0,0
AR,2020-07-01,35,0,28,0,0
AR,2020-07-02,60,0,29,0,0
AR,2020-07-03,78,0,26,0,0
AR,2020-07-04,82,0,22,0,0
AR,2020-07-05,87,0,18,0,0
AR,2020-07-06,83,1,31,0,0
AR,2020-07-07,85,1,43,0,0
AR,2020-07-08,92,1,43,0,0
AR,2020-07-09,70,1,49,0,0
AR,2020-07-10,83,1,45,0,0
AR,2020-07-11,82,1,49,0,0
AR,2020-07-12,91,1,60,0,0
AR,2020-07-13,117,1,53,0,0
AR,2020-07-14,186,1,48,0,0
AR,2020-07-15,204,1,44,0,0
AR,2020-07-16,241,1,33,0,0
AR,2020-07-17,274,1,55,0,0
AR,2020-07-18,309,1,149,0,0
AR,2020-07-19,380,1,144,0,0
AR,2020-07-20,403,0,140,0,0
AR,2020-07-21,396,0,150,0,0
AR,2020-07-22,458,0,161,0,0
AR,2020-07-23,448,0,181,0,0
AR,2020-07-24,447,0,217,0,0
AR,2020-07-25,476,0,154,0,0
AR,2020-07-26,418,0,223,0,0
AR,2020-07-27,449,0,289,0,0
AR,2020-07-28,472,0,314,0,0
AR,2020-07-29,461,0,363,0,0
AR,2020-07-30,493,0,493,0,0
